# Pipe-delimited Phase 6G L2TLB evidence manifest.
# Fields:
# case_id|phase|test|seed|status|accepted_warnings|required_reports|required_counters|required_covers|related_ids|notes
P1_TLBR_EXACT_READ_ENTRY|P1|test_mmu_tlbr_read_entry|65036|closure|0|L2TLB_TLBOP_CHECK;L2TLB_TLBOP_READBACK;UVM_SUMMARY|UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0||L2TLB_TP_035|TLBR exact entry readback compares MEL/MEH payload fields after deterministic TLBWI setup.
P1_TLBR_EXACT_ALL_FIELDS|P1|test_mmu_tlbr_all_fields|65037|closure|0|L2TLB_TLBOP_CHECK;L2TLB_TLBOP_READBACK;UVM_SUMMARY|UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0||L2TLB_TP_035|TLBR all-fields readback exercises page size, ASID, PPN, flag, and global-bit decode.
P1_TLBWI_EXACT_WRITE_ENTRY|P1|test_mmu_tlbwi_write_entry|65038|closure|0|L2TLB_TLBOP_CHECK;L2TLB_TLBOP_READBACK;UVM_SUMMARY|UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0||L2TLB_TP_036|TLBWI exact write/readback: deterministic index write, TLBR payload compare, and TLBP visible hit check.
P1_TLBWI_EXACT_OVERWRITE|P1|test_mmu_tlbwi_overwrite|65039|closure|0|L2TLB_TLBOP_CHECK;L2TLB_TLBOP_READBACK;UVM_SUMMARY|UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0||L2TLB_TP_036|TLBWI overwrite exact readback validates replacement of an existing indexed entry.
P1_TLBWR_VISIBLE_READBACK|P1|test_mmu_tlbwr_random_replace|65040|closure|0|L2TLB_TLBOP_CHECK;L2TLB_TLBOP_READBACK;UVM_SUMMARY|UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0||L2TLB_TP_037|TLBWR visible write/readback scans ways with TLBR and verifies TLBP hit; exact victim policy remains future exact-model scope.
P1_TLBWR_RRPV_VISIBLE_READBACK|P1|test_mmu_tlbwr_rrpv_policy|65041|closure|0|L2TLB_TLBOP_CHECK;L2TLB_TLBOP_READBACK;UVM_SUMMARY|UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0||L2TLB_TP_037|TLBWR/RRPV visible write/readback covers repeated random writes; exact RRPV victim/value remains future exact-model scope.
P1_L2TLB_HASH_EXACT_DIRECTED|P1|test_arb_skew_index_generation|66001|closure|16|L2TLB_HASH_CHECK;UVM_SUMMARY|UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0|c_l2tlb_hash_selector_00>0;c_l2tlb_hash_selector_01>0;c_l2tlb_hash_selector_10>0;c_l2tlb_hash_selector_11>0;c_l2tlb_hash_tlbop_idx_not_va>0|L2TLB_TP_054,L2TLB-P6-ISSUE-016|Shared L2TLB hash/skew/page-size/bank-mask golden model closure after RTL mask constants were changed to explicit 8-bit literals; bank mask is derived from the per-bank predicted page-size table in spec 2.3; accepts 16 unrelated IFU monitor warnings in this directed run and requires selector/idx_not_va cover hits.
P6E_PTW_SOURCE_FAULT_CLOSURE|6E|test_l2tlb_p6e_ptw_disabled_fault_accerr|64001|closure|0|L2TLB_PHASE6E_TRIGGER;L2TLB_PHASE6E_CHECKER;L2TLB_PHASE6E_CLOSE;L2TLB_PHASE6E_SHADOW_DELTA;PHASE6C_L2_SOURCE_RESULT;PHASE6C_L2_PTW_DISABLED;PHASE6C_PAYLOAD_IGNORE;PHASE6C_L2_SHADOW;UVM_SUMMARY|L2TLB_PHASE6E_CLOSE:trigger_count>=1;L2TLB_PHASE6E_CLOSE:checker_count>=1;L2TLB_PHASE6E_CLOSE:waiver_count=0;L2TLB_PHASE6E_CLOSE:future_or_waiver=0;PHASE6C_L2_SHADOW:ptw_disabled_itlb>0;PHASE6C_L2_SHADOW:ptw_disabled_dtlb_load>0;PHASE6C_L2_SHADOW:ptw_disabled_dtlb_store>0;PHASE6C_L2_SHADOW:ptw_disabled_pfu>0;PHASE6C_L2_SHADOW:ptw_pgflt_itlb>0;PHASE6C_L2_SHADOW:ptw_pgflt_dtlb_load>0;PHASE6C_L2_SHADOW:ptw_pgflt_dtlb_store>0;PHASE6C_L2_SHADOW:ptw_pgflt_pfu>0;PHASE6C_L2_SHADOW:ptw_accerr_itlb>0;PHASE6C_L2_SHADOW:ptw_accerr_dtlb_load>0;PHASE6C_L2_SHADOW:ptw_accerr_dtlb_store>0;PHASE6C_L2_SHADOW:ptw_accerr_pfu>0;PHASE6C_L2_SHADOW:payload_ignore>0;PHASE6C_L2_SHADOW:mismatch=0;PHASE6C_L2_SHADOW:waived_future=0;UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0||L2TLB_TP_018,L2TLB_TP_025,L2TLB_TP_026,L2TLB_TP_033,L2TLB_SVA_012,L2TLB_SVA_014|Source-specific PTW disabled/page-fault/access-error closure for ITLB, DTLB load, DTLB store, and PFU; fault/error payloads are classified through Phase6C payload-ignore evidence.
P6E_NEG_PROTOCOL_SUITE|6E|test_l2tlb_p6e_negative_ptw_completion_control|66001|negative|0|L2TLB_NEG_INJECTOR;L2TLB_NEG_TRIGGER;L2TLB_NEG_EXPECTED_CLASS;L2TLB_PHASE6E_TRIGGER;L2TLB_PHASE6E_CHECKER;L2TLB_PHASE6E_CLOSE|L2TLB_PHASE6E_CLOSE:trigger_count>=4;L2TLB_PHASE6E_CLOSE:checker_count>=4;L2TLB_PHASE6E_CLOSE:waiver_count=0;L2TLB_PHASE6E_CLOSE:future_or_waiver=0;UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0||L2TLB_TP_027,L2TLB_TP_048,L2TLB_TP_056,L2TLB_TP_058,L2TLB_SVA_012,L2TLB_SVA_013,L2TLB_SVA_017,L2TLB_SVA_018|Isolated negative injector suite covers bad PTW completion, illegal completion combo, bad ID/type, and control hazard classification without normal functional closure.
P6E_NEG_PTW_NO_OUTSTANDING|6E|test_l2tlb_p6e_neg_ptw_no_outstanding|66001|negative|0|L2TLB_NEG_INJECTOR;L2TLB_NEG_TRIGGER;L2TLB_NEG_EXPECTED_CLASS;L2TLB_PHASE6E_TRIGGER;L2TLB_PHASE6E_CHECKER;L2TLB_PHASE6E_CLOSE|L2TLB_PHASE6E_CLOSE:trigger_count>=1;L2TLB_PHASE6E_CLOSE:checker_count>=1;L2TLB_PHASE6E_CLOSE:waiver_count=0;L2TLB_PHASE6E_CLOSE:future_or_waiver=0;UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0||L2TLB_TP_027,L2TLB_TP_048,L2TLB_SVA_012,L2TLB_SVA_013|Negative injector drives a PTW completion when no L2 MB entry is outstanding and classifies it as bad completion, not functional response evidence.
P6E_NEG_PTW_BAD_ID_TYPE|6E|test_l2tlb_p6e_neg_ptw_bad_id_type|66001|negative|0|L2TLB_NEG_INJECTOR;L2TLB_NEG_TRIGGER;L2TLB_NEG_EXPECTED_CLASS;L2TLB_PHASE6E_TRIGGER;L2TLB_PHASE6E_CHECKER;L2TLB_PHASE6E_CLOSE|L2TLB_PHASE6E_CLOSE:trigger_count>=1;L2TLB_PHASE6E_CLOSE:checker_count>=1;L2TLB_PHASE6E_CLOSE:waiver_count=0;L2TLB_PHASE6E_CLOSE:future_or_waiver=0;UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0||L2TLB_TP_027,L2TLB_TP_048,L2TLB_TP_056,L2TLB_SVA_013,L2TLB_SVA_018|Negative injector drives an unmatched ID/type completion and records expected protocol classification.
P6E_NEG_PTW_ILLEGAL_COMBO|6E|test_l2tlb_p6e_neg_ptw_illegal_combo|66001|negative|0|L2TLB_NEG_INJECTOR;L2TLB_NEG_TRIGGER;L2TLB_NEG_EXPECTED_CLASS;L2TLB_PHASE6E_TRIGGER;L2TLB_PHASE6E_CHECKER;L2TLB_PHASE6E_CLOSE|L2TLB_PHASE6E_CLOSE:trigger_count>=1;L2TLB_PHASE6E_CLOSE:checker_count>=1;L2TLB_PHASE6E_CLOSE:waiver_count=0;L2TLB_PHASE6E_CLOSE:future_or_waiver=0;UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0||L2TLB_TP_027,L2TLB_TP_048,L2TLB_SVA_012,L2TLB_SVA_018|Negative injector drives mutually exclusive PTW completion result bits simultaneously and records expected protocol classification.
P6E_NEG_CONTROL_HAZARD|6E|test_l2tlb_p6e_neg_control_hazard|66001|negative|0|L2TLB_NEG_INJECTOR;L2TLB_NEG_TRIGGER;L2TLB_NEG_EXPECTED_CLASS;L2TLB_PHASE6E_TRIGGER;L2TLB_PHASE6E_CHECKER;L2TLB_PHASE6E_CLOSE|L2TLB_PHASE6E_CLOSE:trigger_count>=1;L2TLB_PHASE6E_CLOSE:checker_count>=1;L2TLB_PHASE6E_CLOSE:waiver_count=0;L2TLB_PHASE6E_CLOSE:future_or_waiver=0;UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0||L2TLB_TP_058,L2TLB_SVA_017|Negative injector forces SATP/PTW-enable control change during observed L2 MB/PTW outstanding and records expected control-hazard classification.
P6F_RRPV_WBUF_DEBUG|6F|test_l2tlb_p6e_rrpv_debug_pressure|65001|debug|0|L2TLB_PHASE6E_TRIGGER;L2TLB_PHASE6E_CHECKER;L2TLB_PHASE6E_CLOSE;L2TLB_PHASE6E_SHADOW_DELTA;L2TLB_PHASE6F_CLOSE;PHASE6C_L2_SHADOW|L2TLB_PHASE6E_SHADOW_DELTA:activity>0;L2TLB_PHASE6F_CLOSE:trigger_count>=1;L2TLB_PHASE6F_CLOSE:checker_count>=1;PHASE6C_L2_SHADOW:mismatch=0|c_rrpv_wbuf_push_new_entry>0;c_rrpv_wbuf_pop>0;c_rrpv_wbuf_lookup_bypass_hit>0|L2TLB_TP_045,L2TLB_TP_046,L2TLB_TP_047,L2TLB_SVA_022,L2TLB-P6-ISSUE-014|RRPV/wbuf debug pressure with no-overflow/no-wrong-grant baseline evidence.
P6F_RRPV_EXACT_FUTURE|6F|test_l2tlb_p6e_rrpv_debug_pressure|65001|future_exact_model|0|L2TLB_PHASE6F_CLOSE|L2TLB_PHASE6F_CLOSE:trigger_count>=1;L2TLB_PHASE6F_CLOSE:checker_count>=1||L2TLB_SVA_023,L2TLB_SVA_024,L2TLB-WAIVE-P6F-002,L2TLB-P6-ISSUE-009,L2TLB-P6-ISSUE-014|Exact victim, exact RRPV value, wbuf latest-wins, merge, and same-cycle bypass remain future exact-model items.
P6G_TIMEOUT_FAIRNESS_CLOSURE|6G|test_l2tlb_p6e_timeout_fairness_release|64001|closure|0|L2TLB_PHASE6E_TRIGGER;L2TLB_PHASE6E_CHECKER;L2TLB_PHASE6E_CLOSE;L2TLB_PHASE6E_SHADOW_DELTA;PHASE6C_L2_SHADOW;UVM_SUMMARY|L2TLB_PHASE6E_SHADOW_DELTA:activity>0;L2TLB_PHASE6E_SHADOW_DELTA:pfu>0;L2TLB_PHASE6E_SHADOW_DELTA:payload_ignore>0;L2TLB_PHASE6E_CLOSE:trigger_count>=1;L2TLB_PHASE6E_CLOSE:checker_count>=1;L2TLB_PHASE6E_CLOSE:waiver_count=0;PHASE6C_L2_SHADOW:mismatch=0;PHASE6C_L2_SHADOW:waived_future=0;UVM_SUMMARY:UVM_ERROR=0;UVM_SUMMARY:UVM_FATAL=0|c_d_req_back_to_back_valid>0|L2TLB_TP_049,L2TLB_TP_050,L2TLB-P6-ISSUE-013|Closed root-cause: PFU error/flag-only payload-ignore, L1DTLB MB current-window classifier, and DTLB back-to-back ReqQ SVA policy; seed 64001 is clean with shadow activity and no bad log pattern.
