# Pipe-delimited Phase 6G evidence manifest.
# Fields:
# case_id|phase|test|seed|status|accepted_warnings|required_reports|required_counters|required_covers|related_ids|notes
6D_ALLOC_ONE_FREE|6D|test_mmu_l1dtlb_dtlb_alloc_race_001|97116|closure|0|PHASE6D_MB_SHADOW;PHASE6D_NO_RESPONSE|PHASE6D_MB_SHADOW:dual_diff_one_free>0;PHASE6D_MB_SHADOW:iid_age>0;PHASE6D_NO_RESPONSE:priority_drop>0;PHASE6D_NO_RESPONSE:sidefx_checks>0|cp_l1dtlb_c006_dual_diff_one_free>0|L1DTLB_MB_DUAL_DIFF_ONE_FREE_AGE,L1DTLB_LEGAL_NO_RESPONSE_TAXONOMY|One-free IID-age winner and priority-drop no-response evidence.
6D_MB_FULL|6D|test_mmu_l1dtlb_dtlb_alloc_full_001|97113|closure|0|PHASE6D_MB_SHADOW;PHASE6D_NO_RESPONSE|PHASE6D_MB_SHADOW:full_drop>0;PHASE6D_NO_RESPONSE:mb_full>0;PHASE6D_NO_RESPONSE:no_alloc>0;PHASE6D_NO_RESPONSE:no_l2_req>0|cp_l1dtlb_c007_mb_full>0|L1DTLB_MB_SINGLE_OR_FULL,L1DTLB_NO_RESPONSE_NO_SIDE_EFFECT|MB full no-response without side effects.
6D_MB_CAM|6D|test_mmu_l1dtlb_dtlb_hit_miss_concurrent_001|97123|closure|0|PHASE6D_MB_SHADOW;PHASE6D_NO_RESPONSE|PHASE6D_MB_SHADOW:cam_drop>0;PHASE6D_NO_RESPONSE:mb_cam>0;PHASE6D_NO_RESPONSE:sidefx_checks>0||L1DTLB_MB_CAM_HIT_NO_RESPONSE,L1DTLB_RM_MB_4K_CAM|MB CAM hit legal no-response; scoreboard lifecycle evidence is the closure owner for this row.
6D_ABORT_NO_RSP|6D|test_mmu_l1dtlb_dtlb_abort_001|97117|closure|1|PHASE6D_NO_RESPONSE|PHASE6D_NO_RESPONSE:abort>0;PHASE6D_NO_RESPONSE:no_alloc>0;PHASE6D_NO_RESPONSE:no_expt>0;PHASE6D_NO_RESPONSE:no_wakeup>0|cp_l1dtlb_c009_abort_hit>0|L1DTLB_MB_ABORT_SIDE_EFFECT,L1DTLB_TS_CTRL_ABORT_EXPT_HIT|Abort no-response and no illegal side effects; one accepted ref-model page-fault diagnostic occurs during replay-survivor setup.
6D_FLUSH_NO_RSP|6D|test_mmu_l1dtlb_dtlb_mb_flush_race_matrix_001|97122|closure|0|PHASE6D_MB_SHADOW;PHASE6D_NO_RESPONSE|PHASE6D_MB_SHADOW:abt>0;PHASE6D_NO_RESPONSE:flush>0;PHASE6D_NO_RESPONSE:no_refill>0;PHASE6D_NO_RESPONSE:no_expt>0|cp_l1dtlb_c020_flush_race>0|L1DTLB_RTU_FLUSH_SCOPE,L1DTLB_NO_RESPONSE_NO_SIDE_EFFECT|Flush-killed MB work has no refill/expt side effect.
6E_WFI_INSTALL|6E|test_mmu_l1dtlb_dtlb_mb_fsm_wfi_001|97234|closure|0|PHASE6E_REFILL_INSTALL|PHASE6E_REFILL_INSTALL:wfi>0;PHASE6E_REFILL_INSTALL:wfi_lowest>0;PHASE6E_REFILL_INSTALL:wfi_data_hold>0|cp_l1dtlb_c015_wfi_install>0;cp_l1dtlb_c015_wfi_hold>0;cp_l1dtlb_c015_wfi_priority>0;cp_l1dtlb_c015_ptw_l2_collision>0|L1DTLB_INSTALL_PRIORITY,L1DTLB_INSTALL_WFI_DATA_HOLD,L1DTLB_SB_INSTALL_EXPT|WFI install/data-hold deterministic closure.
6E_STALE_ABT|6E|test_mmu_l1dtlb_dtlb_refill_stale_id_001|97233|closure|0|PHASE6E_REFILL_INSTALL;PHASE6D_NO_RESPONSE|PHASE6E_REFILL_INSTALL:abt_late_refill>0;PHASE6D_NO_RESPONSE:no_refill>0;PHASE6D_NO_RESPONSE:no_expt>0;PHASE6D_NO_RESPONSE:no_wakeup>0|cp_l1dtlb_c017_stale_or_abt_refill>0;cp_l1dtlb_c020_flush_race>0|L1DTLB_REFILL_STALE_NO_SIDE_EFFECT,L1DTLB_ABT_LATE_REFILL|ABT late completion closes stale/no-side-effect matrix; standalone stale remains reachability note.
6E_ACFLT_REPLAY|6E|test_mmu_l1dtlb_dtlb_access_fault_source_parity_001|97230|closure|0|PHASE6E_EXPT_LIFECYCLE|PHASE6E_EXPT_LIFECYCLE:acflt>0;PHASE6E_EXPT_LIFECYCLE:replay_consume>0;PHASE6E_EXPT_LIFECYCLE:replay_release>0;PHASE6E_EXPT_LIFECYCLE:no_new_mb>0|cp_l1dtlb_c019_expt_access_replay>0;cp_l1dtlb_c021_access_fault>0|L1DTLB_EXPT_REPLAY_TIMING,L1DTLB_EXPT_REPLAY_RELEASE,L1DTLB_TS_EXPT_ACCESS_FAULT_SOURCE_PARITY|Access-fault exception replay source parity.
6E_DUAL_FAULT|6E|test_mmu_l1dtlb_dtlb_expt_dual_same_entry_neg_001|97231|closure|2|PHASE6E_EXPT_LIFECYCLE|PHASE6E_EXPT_LIFECYCLE:dual_write>0;PHASE6E_EXPT_LIFECYCLE:replay_consume>0|cp_l1dtlb_c016_dual_fault_write>0;cp_l1dtlb_c016_dual_expt_write>0|L1DTLB_FAULT_DUAL_WRITE,L1DTLB_TS_EXPT_ACCESS_FAULT_SOURCE_PARITY|Two accepted ref-model page-fault diagnostics; dual expt write is the target evidence.
6F_CREDIT|6F|test_mmu_l1dtlb_dtlb_credit_bound_001|97341|closure|0|PHASE6F_CREDIT_CONTROL|PHASE6F_CREDIT_CONTROL:fire_return>0;PHASE6F_CREDIT_CONTROL:zero_return>0;PHASE6F_CREDIT_CONTROL:zero_no_fire>0;PHASE6F_CREDIT_CONTROL:load_req>0;PHASE6F_CREDIT_CONTROL:store_req>0|cp_l1dtlb_c014_req_and_return>0;cp_l1dtlb_c014_zero_credit_return>0|L1DTLB_RM_CREDIT_SHADOW,L1DTLB_SB_L2_REQ_CREDIT,L1DTLB_UVM_WORK_003_CREDIT|Exact credit owner and conservation.
6F_WAKEUP_EXPT|6F|test_mmu_l1dtlb_dtlb_wakeup_expt_001|97343|closure|1|PHASE6F_WAKEUP_MATRIX;PHASE6E_EXPT_LIFECYCLE|PHASE6F_WAKEUP_MATRIX:expt>0;PHASE6F_WAKEUP_MATRIX:negative_checks>0;PHASE6E_EXPT_LIFECYCLE:wakeup>0;PHASE6E_EXPT_LIFECYCLE:no_new_mb>0||L1DTLB_SB_WAKEUP,L1DTLB_TS_CTRL_WAKEUP_EXPT|One accepted ref-model page-fault diagnostic; wakeup source is expt replay.
6F_INV_HIT|6F|test_mmu_l1dtlb_dtlb_inv_hit_same_cycle_001|97342|closure|0|PHASE6F_RACE_CLOSURE|PHASE6F_RACE_CLOSURE:inv_hit_old>0;PHASE6F_RACE_CLOSURE:inv_post_clear_miss_or_refill>0;PHASE6F_RACE_CLOSURE:reset_clear>0|cp_l1dtlb_c020_va8_alias_clear>0|L1DTLB_INV_HIT_SAME_CYCLE,L1DTLB_SVA_A063|Same-cycle invalidate+hit old-boundary closure.
6F_CLEANUP_SCOPE|6F|test_mmu_l1dtlb_dtlb_cleanup_scope_matrix_001|97362|closure|0|PHASE6F_RACE_CLOSURE;PHASE6D_NO_RESPONSE|PHASE6F_RACE_CLOSURE:flush_mb_clear>0;PHASE6F_RACE_CLOSURE:flush_expt_clear>0;PHASE6F_RACE_CLOSURE:flush_tlb_preserve>0;PHASE6F_RACE_CLOSURE:abt_late_no_sidefx>0;PHASE6D_NO_RESPONSE:flush>0;PHASE6D_NO_RESPONSE:sidefx_checks>0|cp_l1dtlb_c020_flush_race>0|L1DTLB_RTU_FLUSH_SCOPE,L1DTLB_SB_INVALIDATE_FLUSH|RTU flush scope: MB/expt kill, TLB preserve, no side effects.
6F_INV_INSTALL|6F|test_mmu_l1dtlb_dtlb_inv_install_same_entry_001|97364|closure|0|PHASE6F_RACE_CLOSURE;PHASE6E_REFILL_INSTALL|PHASE6F_RACE_CLOSURE:inv_install_final_clear>0;PHASE6E_REFILL_INSTALL:wfi>0;PHASE6E_REFILL_INSTALL:wfi_data_hold>0|cp_l1dtlb_c020_inv_install_same_entry>0;cp_l1dtlb_c015_ptw_l2_collision>0|L1DTLB_INV_INSTALL_SAME_ENTRY,L1DTLB_SVA_C020|Clean WFI/local-install clear-wins race.
6F_FORMAL_FUTURE|6F|test_mmu_l1dtlb_dtlb_type_prop_load_store_amo_001|97341|future_formal|0|PHASE6F_FORMAL_FUTURE;PHASE6F_CREDIT_CONTROL|PHASE6F_FORMAL_FUTURE:plru_future_rows>0;PHASE6F_FORMAL_FUTURE:vabuf_future_rows>0;PHASE6F_CREDIT_CONTROL:load_req>0;PHASE6F_CREDIT_CONTROL:store_req>0|cp_l1dtlb_c026_vabuf_change>0|L1DTLB_RM_SB_PARTITION_006,L1DTLB_TS_CTRL_VABUF_NO_EFFECT,L1DTLB_SVA_A003|PLRU exact victim and vabuf equivalence are explicit future/formal, not simulation closure.
